127.0.0.1 - - [07/Mar/2025:12:19:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:19:58 +0530] "GET /RoyalKitchen/ HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:15 +0530] "POST /RoyalKitchen/searchRestaurants HTTP/1.1" 200 98350
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:33 +0530] "POST /RoyalKitchen/AdminAccessServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:33 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:37 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:37 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:52 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:52 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11194
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:52 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:20:53 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:22:47 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:22:47 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:22:47 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11196
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:22:47 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:23:31 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:23:31 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:23:31 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:23:31 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:24:19 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:24:20 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:24:22 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:24:25 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:24:29 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2830
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:24:29 +0530] "POST /RoyalKitchen/admin/adminSignUp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:24:32 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [07/Mar/2025:12:24:32 +0530] "GET /RoyalKitchen/admin/admin/styles/password.js HTTP/1.1" 404 810
